,TOI104,TOI105,TOI107
f,0.7312763101548895,0.91418457790598,0.7596022191458041
P,1.3674721662844418,1.093871001729856,1.3164785130887724
amp,0.0003614126760473,0.0010236058441946,0.0010593479946885
ph,0.045686145196151,-0.3321979109961375,0.4766186504283679
T0,1325.2377214897458,1325.6636731964963,1324.6738536662915
offset,0.999900499369674,0.9995631638133554,0.9995686675720236
e_amp,1.2238505255234397e-05,2.442253748703661e-05,2.5956702738624027e-05
e_ph,0.0053894584681686,0.0037973284208504,0.0038996982747238
e_T0,0.0073699344465666,0.0041537874436128,0.0051338689862032
e_offset,8.653930057563442e-06,1.7269341870866252e-05,1.835416052372448e-05
e_f,0.0009042266902567,0.0006433634345985,0.000660815367353
e_P,0.0016908859397834,0.000769818942136,0.0011452694717209
pmax,0.0457710695035465,0.0880158167044293,0.0831097181651863
