TOI,P_mean,P_std
TOI0101,1.4228367521619179,0.007788155811248976
TOI0102,1.8715930016645423,0.9350693269014868
TOI0103,1.7813143428255789,0.0
TOI0104,1.7082978446333277,0.34082567834888605
TOI0105,1.0935196453211375,0.00035135640871852836
TOI0106,1.9057941165963266,0.7867996232521544
TOI0107,2.643388861933609,1.326910348844836
TOI0108,2.385846879836558,2.005134216532351
TOI0109,0.9196663465831044,0.000669140661893608
TOI0110,2.3056174954041193,1.3215928472545666
TOI0111,0.9338221790280486,0.8357669462121277
TOI0112,1.4253063980558858,0.6187424360246874
TOI0113,1.691641820061138,0.0
TOI0114,2.4070510322946324,0.6908567445083307
TOI0115,3.265008032501063,2.906731415914392
TOI0116,1.1175447326349792,0.394836697254391
TOI0117,1.3450080576961483,0.4489834989594736
TOI0118,3.2397991393921304,2.8369838716037767
TOI0119,8.097226907826759,2.0073785046770496
TOI0120,3.723343615620473,0.0
TOI0121,2.3522454539048008,0.5635389806129686
TOI0122,4.011936665899347,3.5757657467228814
TOI0123,2.4654253338063334,0.8114606427776497
TOI0124,1.5305956204128137,2.04680167858058
TOI0125,4.236499327871369,4.078749178525928
TOI0126,1.1392849697315304,0.3812084240393951
TOI0127,0.7358456940985577,0.16954454681329212
TOI0128,5.9006618968275255,1.467130301482348
TOI0129,5.552442096347229,1.091838963910358
TOI0130,2.2957321882228157,1.177082742717476
TOI0131,7.55968961725766,0.0
TOI0132,1.2308174456103655,0.8791783792446544
TOI0133,6.1021847662568,2.276655278724098
TOI0134,6.90866118464888,1.53466512161355
TOI0135,1.4944510105572046,0.43402784238560094
TOI0136,0.347275179293882,0.16372906748454874
TOI0137,6.9102406524948945,1.4672928217286794
TOI0138,7.556965353906424,1.2920162320354924
TOI0139,6.215118961301096,1.327473692059261
TOI0140,1.713156028219581,0.588402740289804
TOI0141,2.1988736587243953,2.1782403523678653
TOI0142,1.7061455758473447,0.008321614779955005
TOI0143,2.3285715467338095,0.00686093890452899
TOI0144,3.4397362294763276,1.7073236778369447
TOI0146,0.823791758559805,0.6524002569055999
TOI0147,2.7122489357397885,0.9174654709434155
TOI0148,6.59488429043789,0.0
TOI0149,6.878794080724317,2.356514083143343
TOI0150,2.288201896253562,1.5177317891573407
TOI0151,6.915496742099754,2.9181535729906276
TOI0153,4.814327943938806,2.046664878559604
TOI0154,3.5123758713999287,0.0
TOI0155,1.087375267410247,0.0
TOI0156,6.756636691326918,1.1875522433044088
TOI0157,2.290665803561837,2.987813147627178
TOI0158,2.1664062417337724,0.0
TOI0159,1.2516610391321885,0.38160301956257053
TOI0161,2.496099683835777,0.5563030710619188
TOI0163,2.001272643344124,1.3246849669060958
TOI0165,3.310267273505616,1.0706904987585624
TOI0166,6.72980803241972,0.0
TOI0167,2.4475449111832304,1.9882261277252617
TOI0168,3.2762075749408925,0.0
TOI0169,0.5901036759952037,0.12392936664733534
TOI0170,1.6321535106393577,1.0298698751484114
TOI0171,1.8730314417003016,0.9810048782475485
TOI0172,4.960706703078541,0.0
TOI0173,2.6524880417529575,1.0564446297570358
TOI0174,5.55624000782711,1.8470735809990415
TOI0175,4.928716188055355,3.0483789008224322
TOI0176,5.212199516371694,2.7325216824154515
TOI0177,6.761925464362814,1.7402961548721567
TOI0178,5.432503154673382,1.0302531878275054
TOI0179,7.557630275644431,1.880822731689301
TOI0180,0.5224391926185167,0.1816344593263041
TOI0181,7.870016442379361,2.1299835576206383
TOI0182,1.7661098467225123,0.002636727455739951
TOI0183,1.6594007988890431,1.1383921140614213
TOI0184,2.1421814807235875,0.5985251504623597
TOI0185,0.47083859656259686,0.0003331082523504434
TOI0186,7.041929246250252,2.4694744749093074
TOI0187,1.2821346810257583,2.6294844593978524
TOI0188,5.225964563016075,1.5022431756945422
TOI0189,2.3144408563662555,2.2325367311757778
TOI0190,2.5458966598757224,1.224111163316267
