TOI,P_mean,P_std
TIC100008085,3.219425157703704,0.0
TIC100008712,0.7117130603668995,0.0
TIC100008853,7.471113803011666,0.0
TIC100009042,4.87073925759613,0.0
TIC100009086,7.073592964604479,0.0
TIC100009237,10.0,0.0
TIC100010226,1.293299642011087,0.0
TIC100010286,10.0,0.0
TIC100010430,7.471116695947011,0.0
TIC100010886,4.24817500201225,0.0
TIC100010900,8.158878224726607,0.0
TIC100011076,6.890288445040858,0.0
TIC100011130,6.099913556868536,0.0
TIC100011171,3.2194171232871662,0.0
TIC100011208,4.617005405386944,0.0
TIC100011351,3.3407658511690834,0.0
TIC100011651,1.8015411953256748,0.0
TIC10001177219,10.0,0.0
TIC100011908,4.181362303014666,0.0
TIC100012026,7.073595672175752,0.0
TIC100012508,4.783127828485608,0.0
TIC100012575,5.153991963293338,0.0
TIC100012836,7.4711148318535825,0.0
TIC100012963,5.361853725286003,0.0
TIC100013460,0.2345532754366204,0.0
TIC100013600,5.587189946920367,0.0
TIC100013706,2.40429042516384,0.0
TIC100013827,1.9466291590056488,0.0
TIC100014010,2.0677387991574605,0.0
TIC100014076,7.073598026437258,0.0
TIC10002018424,3.383326284478279,0.0
TIC100085694,4.961668594194318,0.0
TIC100086695,7.073624981617707,0.0
TIC100090050,6.890320400851452,0.0
TIC1001393210,5.472169959148075,0.0
TIC1001393472,0.3346187365245927,0.0
TIC1001395776,9.300415888084604,0.0
TIC1001399675,0.2630988572184296,0.0
TIC1001403594,2.967847230131272,0.0
TIC1001405934,10.0,0.0
TIC1001411161,4.870722845883629,0.0
TIC1001416172,0.1461231107030358,0.0
TIC1001416747,2.840992926498082,0.0
TIC1001424674,5.707085673507319,0.0
TIC1001425395,1.199900940820107,0.0
TIC1001426032,6.393227678331692,0.0
TIC1001438636,5.707098286503013,0.0
TIC1001442734,6.890269235765735,0.0
TIC1001444020,10.0,0.0
TIC1001445904,0.1832953966363825,0.0
TIC1001448120,5.055963730198268,0.0
TIC1001452037,5.361827186935163,0.0
TIC1001453506,10.0,0.0
TIC1001454780,5.055955076163568,0.0
TIC1001454863,7.266902927101911,0.0
TIC1001459854,2.005345087149228,0.0
TIC1001465171,5.587176834494154,0.0
TIC1001467485,0.2802967331368752,0.0
TIC1001467589,4.538189822613952,0.0
TIC1001468000,1.065297747402654,0.0
TIC1001468527,0.3388864289411561,0.0
TIC1001476206,0.4131304594762751,0.0
TIC1001477591,4.053847272465205,0.0
TIC1001478829,5.707106285563222,0.0
TIC1001483074,0.2584965861606078,0.0
TIC1001483663,10.0,0.0
TIC1001486693,5.255857296676916,0.0
TIC1001491819,0.5953734586571868,0.0
TIC1001497746,1.8647162147413767,0.0
TIC1001498523,10.0,0.0
TIC1001499579,10.0,0.0
TIC1001514002,0.1693995000566283,0.0
TIC1001526462,5.361859514583556,0.0
TIC1001526706,1.1945276683223431,0.0
TIC1001529611,5.587199210472244,0.0
TIC1001531452,5.361862792187654,0.0
TIC1001539888,5.472203358263681,0.0
TIC1001541025,6.3932578099260935,0.0
TIC1001542444,0.2366417928930243,0.0
TIC1001543662,6.890291811441949,0.0
TIC1001545355,0.2936078085550942,0.0
TIC1001545830,0.4031119408123348,0.0
TIC1001547236,9.30042603127828,0.0
TIC1001551452,2.3827504810660343,0.0
TIC100156018,0.2248389447145554,0.0
TIC1001561181,4.961650119296725,0.0
TIC1001568839,0.3308774745932429,0.0
TIC1001570405,0.1094830546593103,0.0
TIC1001575335,0.1105759917489534,0.0
TIC1001584317,1.3321879903214495,0.0
TIC1001586844,4.870766920680176,0.0
TIC1001588276,5.472231767218568,0.0
TIC1001593157,1.256634752067474,0.0
TIC1001594870,0.1416879816693955,0.0
TIC1001595824,5.056002566025018,0.0
TIC1001600230,0.4012905073213816,0.0
TIC1001602651,0.2047538437540551,0.0
TIC1001606811,1.3189749866127267,0.0
TIC1001607958,5.832338289784152,0.0
TIC1001611477,8.158895388461183,0.0
TIC1001614018,2.0360906247781165,0.0
TIC1001614265,0.1089009194302945,0.0
TIC1001616446,1.008735048470142,0.0
TIC1001623776,3.876582347584832,0.0
TIC1001625612,7.9159954833070385,0.0
TIC1001626958,1.5586679113810686,0.0
TIC1001631535,6.550809864251532,0.0
TIC1001640485,8.692351486723663,0.0
TIC1001650950,5.176731148856686,0.0
TIC1001651081,4.6951662948830215,0.0
TIC100165164,5.832349409397297,0.0
TIC1001652432,8.692353654738353,0.0
TIC1001660351,10.0,0.0
TIC100168139,2.8717423404860893,0.0
TIC100169082,10.0,0.0
TIC100239591,0.1952807500383754,0.0
TIC100248732,5.707159733425406,0.0
TIC100255055,8.692348623493828,0.0
TIC100329936,6.716274879931414,0.0
TIC100336517,10.0,0.0
TIC100336840,1.53173158906482,0.0
TIC100341207,5.832348047043301,0.0
TIC100398936,1.1839047837233514,0.0
TIC100406081,8.417182808588032,0.0
TIC102013750,4.248175568578247,0.0
TIC102014470,3.299319961856699,0.0
TIC102023452,6.393260772270024,0.0
TIC102161004,0.2988883682218874,0.0
TIC102223217,2.7527804161846627,0.0
TIC102223395,6.099912486144457,0.0
TIC102224243,0.1155235206579352,0.0
TIC102362379,5.9631092801770285,0.0
TIC102373706,2.361584243560567,0.0
TIC102502661,0.3212806663936376,0.0
TIC102505928,0.2705998215933376,0.0
TIC102506720,0.152232968499206,0.0
TIC102611605,2.781583941080429,0.0
TIC102614633,2.7815835662792305,0.0
TIC102617335,1.8015474577280448,0.0
TIC102617751,0.2057021284110466,0.0
TIC102731925,0.1821664061441234,0.0
TIC102734241,0.2725410794063827,0.0
TIC102848232,5.963110851700058,0.0
TIC102995616,0.7414839727188078,0.0
TIC102998829,1.8517317096889565,0.0
TIC103115691,0.8216851305152525,0.0
TIC103121840,1.0695903842620829,0.0
TIC103133239,0.7899502069119962,0.0
TIC103133373,1.210846649013122,0.0
TIC103245015,6.393259427788209,0.0
TIC103352580,0.8995197287508669,0.0
TIC103368976,4.053865135797492,0.0
TIC103493721,0.142675479117619,0.0
TIC103570864,2.020627718595659,0.0
TIC103570908,1.5229625864361909,0.0
TIC103571070,5.587242065484623,0.0
TIC103571078,4.783167280112607,0.0
TIC103571238,1.036258198059043,0.0
TIC103571295,5.056025573852308,0.0
TIC103571388,10.0,0.0
TIC103571856,1.9185656034784884,0.0
TIC103571919,0.3009233147107034,0.0
TIC103572431,3.7141446077243954,0.0
TIC103572618,9.637540846426385,0.0
TIC103573024,10.0,0.0
TIC103573335,9.637540537252784,0.0
TIC103573401,5.05602722843763,0.0
TIC103579824,4.69864252177741,0.0
TIC103580569,2.518177098225994,0.0
TIC103580625,6.099955342668396,0.0
TIC103580877,0.9973869626670556,0.0
TIC103580936,0.9754334680016892,0.0
TIC103580980,0.7060550137070593,0.0
TIC103581009,6.099958072508894,0.0
TIC103581155,3.714143568251283,0.0
TIC103582173,4.0539055069797305,0.0
TIC103582478,7.2669564617102145,0.0
TIC103582515,0.921352620921282,0.0
TIC103603685,2.903095376398076,0.0
TIC103603953,4.248213348814243,0.0
TIC103604037,5.056024211414033,0.0
TIC103604176,10.0,0.0
TIC103604595,3.993029022794082,0.0
TIC103604834,6.550816274573657,0.0
TIC103605167,2.117162101350529,0.0
TIC103605168,3.9339498365486114,0.0
TIC103605197,3.820887601522776,0.0
TIC103605399,3.876593243623666,0.0
TIC103605729,6.89032490922432,0.0
TIC103605778,10.0,0.0
TIC103605807,5.056022432148715,0.0
TIC103605851,4.462086710447201,0.0
TIC103605968,0.1382271408256886,0.0
TIC103631104,4.18140853651158,0.0
TIC103631501,0.9310330888163746,0.0
TIC103631905,2.6969741795439344,0.0
TIC103632031,5.1540305411115295,0.0
TIC103632048,5.472250488798397,0.0
TIC103632402,0.343712554585352,0.0
TIC103632423,10.0,0.0
TIC103632451,1.2164016040342265,0.0
TIC103632572,2.36161308634472,0.0
TIC103632624,10.0,0.0
TIC103632671,8.986116919691366,0.0
TIC103633197,3.993023310829821,0.0
TIC103633212,2.067765567519794,0.0
TIC103633257,7.915999509504016,0.0
TIC103633314,10.0,0.0
