,tic_id,st_age,pl_trandur,pl_orbper,pl_orbpererr1,pl_orbpererr2,sector,biweight,cosine,GP_squared_exp,GP_periodic_auto,biweight_SDE,cosine_SDE,gp_Kernel_squared_exp_SDE,gp_Kernel_periodic_auto_SDE
0,TIC 166527623,0.017,4.822,6.959503,1.6e-05,-1.5e-05,11,1.0,1.0,1.0,1.0,0.2611917748041929,0.49628236797498354,13.567165616337354,6.478711337105701
1,TIC 441420236,0.022,3.5,8.463,2e-06,-2e-06,01,1.0,1.0,1.0,1.0,-0.15712125930268392,0.9590432839388666,0.1431979102844397,2.1482952186193005
2,TIC 441420236,0.022,3.5,8.46321,4e-05,-4e-05,01,1.0,1.0,1.0,1.0,-0.15712125930268392,1.6928266532944949,0.15565481678896784,4.532985567448619
3,TIC 441420236,0.022,4.5,18.859019,1.6e-05,-1.6e-05,01,1.0,1.0,1.0,1.0,,,,
4,TIC 460205581,0.035,1.957,8.3248762,1.57e-05,-1.57e-05,10,1.0,1.0,1.0,1.0,-0.007587386565844398,7.7941736346109955,12.442459402075018,-0.26440743107609677
5,TIC 410214986,0.04,,8.1387,0.0005,-0.0005,01,1.0,1.0,1.0,1.0,4.369573181115471,9.379777966793316,6.546198420130503,3.1652426728288097
6,TIC 410214986,0.045,3.1764,8.138268,1.1e-05,-1.1e-05,01,1.0,1.0,1.0,1.0,0.28804250503703493,10.356622864539496,-0.11532594338575565,3.1652426728288097
7,TIC 146520535,0.05,2.761,4.3263,0.0011,-0.0011,32,1.0,1.0,1.0,1.0,6.838096874508156,4.36156682161665,6.659705345912443,4.652996177740592
8,TIC 146520535,0.05,3.723,10.1605,0.0056,-0.0053,32,1.0,1.0,1.0,1.0,7.455474961344286,9.332770496742416,6.9752397751314055,6.703985121865191
9,TIC 146520535,0.09,3.4032,4.32419,3e-05,-3e-05,32,1.0,1.0,1.0,1.0,5.822979787288767,3.446359556054569,6.659705345912443,1.3797502450963106
10,TIC 146520535,0.09,1.91856,10.15643,6.9e-05,-7.9e-05,32,1.0,1.0,1.0,1.0,11.02255952689265,2.516278812028673,3.800465143108142,2.578296827263329
11,TIC 257605131,0.12,2.0376,1.858703,2.5e-05,-3.5e-05,04,1.0,1.0,1.0,1.0,3.4998066001295163,1.9016059063169175,-0.14476318970601376,2.7704142426138483
12,TIC 257605131,0.12,3.5592,9.192522,6e-05,-0.0001,04,1.0,1.0,1.0,1.0,2.993526816776629,3.185382452963494,2.8612448697579422,2.8949669077724955
13,TIC 257605131,0.12,4.0968,16.364988,4.4e-05,-4.4e-05,04,1.0,1.0,1.0,1.0,,,,
14,TIC 180695581,0.18,0.972,0.549372,7e-06,-7e-06,22,1.0,1.0,1.0,1.0,57.00877125495691,28.2559947778513,5.106214558715423,10.253363071340392
15,TIC 224225541,0.18,2.232,4.93777,2.8e-05,-2.9e-05,02,1.0,1.0,1.0,1.0,1.1967561911807114,0.9562988431860089,-0.05377947123281035,1.1068634009078895
16,TIC 27491137,0.204,3.326,10.35566,6e-06,-6e-06,16,1.0,1.0,1.0,1.0,1.1054333607250508,-0.45984936741625887,1.391036868365764,4.441546554588414
17,TIC 27491137,0.204,4.215,,,,16,1.0,1.0,1.0,1.0,,,,
18,TIC 27491137,0.204,3.2,,,,16,1.0,1.0,1.0,1.0,,,,
19,TIC 383390264,0.25,2.91,10.18271,4e-05,-4e-05,12,1.0,1.0,0.0,1.0,0.3331547586141558,-0.1291487776356769,,1.909352618797611
20,TIC 375506058,0.29,2.489,2.650237,3e-06,-3e-06,15,1.0,1.0,1.0,1.0,18.96054273476655,18.920921837336373,19.153742262636165,14.541478640784312
21,TIC 130181866,0.414,3.216,7.10793,0.0004,-0.00034,20,1.0,1.0,1.0,1.0,8.316054073896243,10.534164526477802,15.256511320367883,12.411599217891863
22,TIC 130181866,0.414,4.068,20.5453,0.0012,-0.0013,20,1.0,1.0,1.0,1.0,,,,
23,TIC 181804752,0.5,0.612,0.948005,5.8e-06,-5.8e-06,09,1.0,1.0,1.0,1.0,7.559264064285219,1.5192567807943547,-0.04489975984613779,5.57050545794017
24,TIC 181804752,0.5,1.208,4.989963,5e-05,-5e-05,09,1.0,1.0,1.0,1.0,24.03883918968772,33.9371034763813,41.36513200851788,23.82295854366779
25,TIC 307210830,0.8,0.992,2.2531136,1.2e-06,-1.5e-06,02,1.0,1.0,1.0,1.0,2.7453556096077376,-0.0486129031549991,-0.07180451900860968,2.5272973473597693
26,TIC 307210830,0.8,1.346,3.6906777,1.6e-06,-2.6e-06,02,1.0,1.0,1.0,1.0,24.132612854974294,27.026128765507952,31.975326430464072,24.374951674252713
27,TIC 307210830,0.8,0.84,7.4507245,8.1e-06,-4.6e-06,02,1.0,1.0,1.0,1.0,8.160438054298002,6.272948982166776,2.563201392866604,6.65803955576353
28,TIC 233602827,0.8,,2.38839,0.00031,-0.00066,14,1.0,0.0,0.0,1.0,6.3236866827601546,,,4.790336538008273
29,TIC 233602827,0.8,,4.4929,0.0038,-0.0027,14,1.0,0.0,0.0,1.0,6.4568845500629,,,7.474248596210288
30,TIC 233602827,0.8,,9.0497,0.0049,-0.0032,14,1.0,0.0,0.0,1.0,5.129755066186006,,,4.659387010673763
31,TIC 350618622,0.87,,52.97818,4e-05,-4e-05,01,1.0,0.0,0.0,1.0,,,,
