#
# Full target list for orbit 87, sector 40
# Created Mon Jun 21 15:09:22 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
  7548817	2	3	12.04	272.2670	 45.3369
  7578826	2	3	10.62	272.1910	 44.7161
  7578878	2	3	 9.79	272.1681	 44.6296
  7581199	2	3	10.14	272.3460	 43.2604
  7582594	2	3	 8.57	272.3966	 45.8308
  7584049	2	3	 8.50	272.5282	 47.0887
  7584971	2	3	 8.09	272.5415	 45.2208
  7615976	2	3	 9.95	272.5166	 43.8029
  7617177	2	3	 8.59	272.6429	 42.0301
  7617789	2	3	11.32	272.7938	 42.9986
  7618785	2	3	 5.99	272.7084	 44.5982
  7619197	2	3	 8.08	272.7299	 45.3263
  7619659	2	3	10.40	272.7744	 46.1650
  7620095	2	3	 8.59	272.6742	 46.9816
  7620157	2	3	11.72	272.6598	 47.1120
  7620681	2	3	11.23	272.8556	 47.7042
  7620704	2	3	 5.81	272.8927	 47.6596
  7620720	2	3	14.16	272.8190	 47.6383
  7622101	2	3	17.50	272.9312	 44.9170
  7622188	2	3	 9.80	272.8379	 44.7468
  7622763	2	3	 8.11	272.9529	 43.6974
  7675859	2	3	16.30	273.0948	 43.3524
  7676447	2	3	10.01	273.0682	 43.8101
  7676606	2	3	11.99	272.9687	 43.9556
  7679229	2	3	 9.70	272.9907	 46.2330
  7679733	2	3	 7.93	273.0208	 46.7362
  7682924	2	3	11.82	273.2186	 45.9999
  7686889	2	3	 8.10	273.2053	 42.6235
  7694175	2	3	 8.25	273.3483	 45.5908
  7694690	2	3	 8.64	273.4251	 46.4835
  7695147	2	3	14.47	273.3391	 47.3509
  7695320	2	3	10.29	273.3383	 47.6798
  7717175	2	3	11.15	274.0220	 42.2195
  7718560	2	3	 8.15	274.1082	 44.2924
  7718876	2	3	10.15	274.1108	 44.7650
  7719424	2	3	 9.73	274.0394	 45.6686
  7720507	2	3	 8.65	274.0755	 47.4978
  7720786	2	3	 7.92	274.1726	 47.9110
  7772909	2	3	14.88	274.1472	 46.3879
  7773413	2	3	 8.53	274.1294	 45.5599
  7773681	2	3	12.78	274.2197	 45.1253
  7775012	2	3	 9.84	274.2397	 43.0595
  7778483	2	3	 9.97	274.3945	 46.1368
  7800253	2	3	 9.53	274.9235	 44.4639
  7800921	2	3	 9.37	274.8280	 43.5051
  7802067	2	3	10.13	274.8935	 42.0270
  7802164	2	3	10.28	275.1447	 47.9402
  7802263	2	3	 8.13	275.2519	 47.7761
  7802513	2	3	 9.95	275.2495	 47.3917
  7849727	2	3	10.00	275.4096	 42.1686
  7850185	2	3	11.67	275.2772	 42.6934
  7852543	2	3	10.11	275.2677	 45.7353
  7852929	2	3	10.61	275.2836	 46.3427
  7854182	2	3	 9.06	275.5485	 47.5690
  7854743	2	3	 9.34	275.4395	 46.7751
  7854956	2	3	 9.42	275.5291	 46.4404
  7856273	2	3	 8.10	275.4568	 44.6774
  7857074	2	3	 8.13	275.4305	 43.5883
  7857614	2	3	 9.45	275.4442	 42.9446
  7897707	2	3	10.07	275.6052	 43.1499
  7897892	2	3	14.10	275.6785	 43.3441
  7897957	2	3	11.24	275.5953	 43.4196
  7900693	2	3	 8.83	275.5995	 47.0242
  7901767	2	3	15.61	275.8743	 47.2931
  7903477	2	3	 9.62	275.8227	 45.0726
  7986272	2	3	10.15	275.8188	 43.8223
  7987759	2	3	10.09	275.7838	 42.1677
  7988331	1	3	10.81	278.6407	 18.0167
  7988665	1	3	11.00	278.6801	 18.1178
  7988895	1	3	15.39	278.6221	 18.1837
  8084400	1	3	12.82	278.7406	 21.8011
  8088752	1	3	 8.60	278.6806	 23.4859
  8180177	1	3	13.51	278.7895	 19.0048
  8181167	1	3	 9.73	278.7801	 18.7077
  8182781	1	3	 5.77	278.8026	 18.2034
  8264993	1	3	 8.10	278.9914	 19.8835
  8266786	1	3	13.27	278.9486	 20.4944
  8267970	1	3	11.86	278.9688	 20.9106
  8270249	1	3	 8.05	278.8741	 21.7305
  8272928	1	3	 7.50	278.9823	 22.7557
  8275016	1	3	 4.96	278.8767	 23.6057
  8276065	1	3	 9.21	279.0765	 23.8260
  8350158	1	3	 8.67	279.0628	 22.9978
  8359595	1	3	11.81	279.1264	 19.5136
  8462730	1	3	 6.73	279.1542	 22.1075
  8516795	1	3	10.55	279.1701	 23.2586
  8527476	1	3	13.09	279.3831	 20.5100
  8599797	1	3	 9.45	279.3645	 18.4903
  8710725	1	3	11.28	279.4822	 23.3048
  8834563	1	4	 9.74	287.0726	 20.6869
  8954647	1	4	12.35	287.1276	 18.7097
  9079673	1	4	 8.05	287.2267	 18.6111
  9181177	1	4	11.73	287.2451	 20.7116
  9181710	1	4	10.74	287.2586	 20.7845
  9307608	1	4	 9.79	287.3518	 23.1585
  9313696	1	4	11.35	287.2936	 22.1119
  9417449	1	4	 8.78	287.3913	 20.2571
