#
# Full target list for orbit 95, sector 44
# Created Fri Sep 10 15:35:11 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
  1827590	2	2	10.99	 78.5900	 31.7413
  1827744	2	2	 9.78	 78.6909	 31.6897
  1828620	2	2	 5.75	 78.6642	 31.4017
  1830614	2	2	 8.00	 78.6603	 30.6715
  1830904	2	2	 9.92	 78.6618	 30.5747
  1832556	2	2	11.89	 78.6077	 30.0171
  1840666	2	2	 4.82	 78.8515	 32.6877
  1841543	2	2	10.04	 78.7935	 33.0133
  1941904	2	2	10.30	 78.9551	 34.6996
  1942416	2	2	 7.18	 78.9717	 34.4224
  1945684	2	2	 9.92	 78.9396	 32.4628
  1950843	2	2	12.79	 79.0325	 30.6524
  1950893	2	2	 8.16	 79.0456	 30.6815
  2004993	2	2	 9.06	 79.1259	 33.1627
  2006984	2	2	 5.71	 79.0756	 34.3126
  2008765	2	2	 8.81	 79.0846	 35.3941
  2013258	2	2	12.76	 79.2740	 33.9915
  2013682	2	2	 8.48	 79.1982	 33.7483
  2014191	2	2	 9.20	 79.2534	 33.4523
  2096047	2	2	10.86	 79.2797	 31.6645
  2098122	2	2	11.00	 79.2348	 30.4259
  2098201	2	2	 8.63	 79.1948	 30.3793
  2102329	2	2	 5.49	 79.3793	 31.8240
  2104696	2	2	 8.67	 79.3848	 33.1246
  2105589	2	2	 7.97	 79.3987	 33.5935
  2143575	2	2	 8.26	 79.3461	 35.2037
  2149979	2	2	 3.42	 79.5443	 33.3706
  2151572	2	2	 9.90	 79.5306	 32.8909
  2228954	2	2	12.35	 79.6143	 30.1470
  2234692	2	2	12.80	 79.6296	 33.1463
  2234723	2	2	 8.19	 79.6298	 33.1645
  2236015	2	2	 6.21	 79.5788	 33.7672
  2236662	2	2	12.68	 79.6380	 34.0654
  2237045	2	2	10.13	 79.6296	 34.2518
  2334539	2	2	 9.26	 79.8132	 34.2432
  2335562	2	2	 5.52	 79.7502	 33.7482
  2341087	2	2	11.18	 79.7902	 31.0101
  2341744	2	2	11.65	 79.7496	 30.7082
  2342986	2	2	10.44	 79.7576	 30.1035
  2429093	2	2	11.45	 79.9459	 32.2188
  2430256	2	2	12.04	 79.9687	 32.7666
  2433001	2	2	 6.26	 79.8492	 33.9853
  2433753	2	2	13.36	 79.8928	 34.3427
  2436328	2	2	 9.60	 79.8911	 35.5889
  2437320	2	2	 4.96	 80.0341	 35.7859
  2504200	2	2	11.80	 80.0808	 34.3751
  2505046	2	2	 4.69	 80.0038	 33.9580
  2507547	2	2	 6.48	 80.0031	 32.7854
  2510152	2	2	 8.36	 80.0724	 31.4802
  2510963	2	2	11.41	 80.0996	 31.0506
  2513761	2	2	11.12	 80.2258	 30.0963
  2514016	2	2	 8.04	 80.2339	 30.2241
  2515421	2	2	15.63	 80.1601	 30.8059
