#
# Full target list for orbit 97, sector 45
# Created Tue Nov  2 12:27:10 EDT 2021 
# Concatenation of GI astero exo bright DDT ppas spm1 GI2 exo2 lists
#
# TICID	      Camera   CCD	Tmag	   RA		  Dec
   990474	4	3	11.52	165.4458	 -0.1904
   990692	4	3	10.87	165.4572	 -1.2473
   990827	4	3	10.03	165.4591	 -2.0576
   990903	4	3	 3.12	165.4570	 -2.4848
   990995	4	3	 8.66	165.4595	 -2.9356
   991159	4	3	 8.83	165.4193	 -3.8141
   991185	4	3	11.34	165.4669	 -3.9258
   991642	4	3	11.21	165.6288	 -5.9167
   991858	4	3	11.36	165.5717	 -4.7957
   992137	4	3	 5.99	165.6532	 -3.5127
   992152	4	3	10.92	165.5767	 -3.4561
   992503	4	3	11.23	165.6282	 -1.5522
   992800	4	3	 7.06	165.6382	 -0.0935
   992915	4	3	11.37	165.6679	 -0.2510
  1006543	4	3	11.48	165.6609	 -3.2179
  1006569	4	3	11.44	165.7164	 -3.3517
  1006635	4	3	11.21	165.6912	 -3.6573
  1006824	4	3	11.42	165.7455	 -4.5876
  1006859	4	3	11.53	165.7364	 -4.7611
  1007241	4	3	11.15	165.8532	 -5.2639
  1007434	4	3	10.54	165.8590	 -4.3715
  1007994	4	3	11.43	165.8804	 -1.5453
  1008115	4	3	 8.12	165.8388	 -0.9255
  1008153	4	3	 5.87	165.8105	 -0.7530
  1008348	4	3	 4.93	165.9021	 -0.0008
  1008352	4	3	 7.30	166.0061	 -0.0311
  1008384	4	3	10.94	165.9965	 -0.1963
  1008411	4	3	10.96	165.9567	 -0.3509
  1008449	4	3	12.21	165.9539	 -0.5885
  1008555	4	3	10.22	165.9931	 -1.0812
  1008588	4	3	11.07	165.9180	 -1.3160
  1008931	4	3	 5.15	165.9091	 -3.2043
  1008972	4	3	11.10	165.8978	 -3.4403
  1009100	4	3	10.39	165.9751	 -4.0577
  1009252	4	3	 8.75	165.9143	 -4.7903
  1009300	4	3	10.10	165.9632	 -5.0992
  1025809	4	3	11.17	166.1067	 -5.6682
